game,team
Myrtle Beach Bowl,OHIO
Cricket Celebration Bowl,FAMU
R+L Carriers New Orleans Bowl,UL
Avocados From Mexico Cure Bowl,M-OH
Isleta New Mexico Bowl,NMSU
Starco Brands LA Bowl,BOIS
Radiance Technologies Independence Bowl,TTU
Famous Toastery Bowl,ODU
Scooter's Coffee Frisco Bowl,MRSH
RoofClaim.com Boca Raton Bowl,SYR
Union Home Mortgage Gasparilla Bowl,GT
76 Birmingham Bowl,TROY
Camellia Bowl,ARST
Lockheed Martin Armed Forces Bowl,AFA
Famous Idaho Potato Bowl,USU
68 Ventures Bowl,EMU
SRS Distribution Las Vegas Bowl,NU
EasyPost Hawai'i Bowl,CCU
Quick Lane Bowl,BGSU
SERVPRO First Responder Bowl,TXST
Guaranteed Rate Bowl,UNLV
Military Bowl Presented by GoBowling.com,VT
Duke's Mayo Bowl,WVU
DIRECTV Holiday Bowl,LOU
TaxAct Texas Bowl,OKST
Wasabi Fenway Bowl,SMU
Bad Boy Mowers Pinstripe Bowl,RUTG
Pop-Tarts Bowl,NCSU
Valero Alamo Bowl,OU
TaxSlayer Gator Bowl,UK
Tony the Tiger Sun Bowl,ND
AutoZone Liberty Bowl,ISU
Goodyear Cotton Bowl Classic,MIZ
Chick-fil-A Peach Bowl,MISS
TransPerfect Music City Bowl,AUB
Capital One Orange Bowl,FSU
Barstool Sports Arizona Bowl,WYO
ReliaQuest Bowl,LSU
Cheez-It Citrus Bowl,IOWA
Vrbo Fiesta Bowl,ORE
CFP Semifinal at the Rose Bowl Game Pres. by Prudential,ALA
CFP Semifinal at the Allstate Sugar Bowl,TEX
CFP National Championship Pres. by AT&T,ALA
Total Points Scored in Championship Game,81
,
